baseline,sim,map,course,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,finished,t_course_s,v_course_mps,steps,sim_time_s,wall_time_s
deform,f1tenth,standard_ON,full,4,st,nan,1,0.0,0.0,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,918.8
fastfunnels,f1tenth,standard_ON,full,1,st,nan,3,7.074,1.0,7.29,0.043,nan,1.0,0.0,1.0,0.0,0.0,0.0,1.0,20.35,6.071,2036.0,20.36,19.6733
fastfunnels,f1tenth,standard_ON,full,2,st,nan,3,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,inf,7.958,444.0,4.44,8.5767
fastfunnels,f1tenth,standard_ON,full,4,st,nan,3,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,inf,3.454,127.0,1.27,9.73
leader_follower,f1tenth,standard_ON,full,4,st,5.0,3,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,inf,3.779,823.6667,8.2367,3.6333
nmpc,f1tenth,standard_ON,full,4,st,5.0,3,3.334,0.0,11.21,0.0373,35.356,2.3333,0.0,0.5833,1.0,7.307,0.0,0.25,inf,4.379,1719.6667,17.1967,25.3233
orca,f1tenth,standard_ON,full,4,st,5.0,3,2.0423,0.0,inf,0.0,12.5075,1.6667,0.0,0.4167,1.0,2.8833,0.0,0.4167,inf,1.803,5074.6667,50.7467,9.8
orca,native,standard_ON,full,4,rvo2_disc,5.0,3,1.1157,0.0,inf,0.0,nan,0.3333,0.0,0.0833,0.0,11.558,0.0,0.0,inf,1.3767,3000.0,150.0,0.6467
